holiday,temp,clouds_all,date_time,traffic_volume,weekend
0,288.28,40,2012-10-02 09:00:00,5545,0
0,289.36,75,2012-10-02 10:00:00,4516,0
0,289.58,90,2012-10-02 11:00:00,4767,0
0,290.13,90,2012-10-02 12:00:00,5026,0
0,291.14,75,2012-10-02 13:00:00,4918,0
0,291.72,1,2012-10-02 14:00:00,5181,0
0,293.17,1,2012-10-02 15:00:00,5584,0
0,293.86,1,2012-10-02 16:00:00,6015,0
0,294.14,20,2012-10-02 17:00:00,5791,0
0,293.1,20,2012-10-02 18:00:00,4770,0
0,290.97,20,2012-10-02 19:00:00,3539,0
0,289.38,1,2012-10-02 20:00:00,2784,0
0,288.61,1,2012-10-02 21:00:00,2361,0
0,287.16,1,2012-10-02 22:00:00,1529,0
0,285.45,1,2012-10-02 23:00:00,963,0
0,284.63,1,2012-10-03 00:00:00,506,0
0,283.47,1,2012-10-03 01:00:00,321,0
0,281.18,1,2012-10-03 02:00:00,273,0
0,281.09,1,2012-10-03 03:00:00,367,0
0,279.53,1,2012-10-03 04:00:00,814,0
0,278.62,1,2012-10-03 05:00:00,2718,0
0,278.23,1,2012-10-03 06:00:00,5673,0
0,278.12,1,2012-10-03 08:00:00,6511,0
0,282.48,1,2012-10-03 09:00:00,5471,0
0,291.97,1,2012-10-03 12:00:00,5097,0
0,293.23,1,2012-10-03 13:00:00,4887,0
0,294.31,1,2012-10-03 14:00:00,5337,0
0,295.17,1,2012-10-03 15:00:00,5692,0
0,295.13,1,2012-10-03 16:00:00,6137,0
0,293.66,20,2012-10-03 18:00:00,4623,0
0,290.65,20,2012-10-03 19:00:00,3591,0
0,288.19,20,2012-10-03 20:00:00,2898,0
0,287.1,1,2012-10-03 21:00:00,2637,0
0,286.25,1,2012-10-03 22:00:00,1777,0
0,285.26,1,2012-10-03 23:00:00,1015,0
0,284.55,1,2012-10-04 00:00:00,598,0
0,283.47,1,2012-10-04 01:00:00,369,0
0,283.17,1,2012-10-04 02:00:00,312,0
0,282.04,1,2012-10-04 03:00:00,367,0
0,281.69,1,2012-10-04 04:00:00,835,0
0,281.32,1,2012-10-04 05:00:00,2726,0
0,280.74,1,2012-10-04 06:00:00,5689,0
0,280.57,1,2012-10-04 07:00:00,6990,0
0,281.86,1,2012-10-04 08:00:00,5985,0
0,284.98,1,2012-10-04 09:00:00,5309,0
0,289.18,1,2012-10-04 10:00:00,4603,0
0,291.55,1,2012-10-04 11:00:00,4884,0
0,294.97,1,2012-10-04 12:00:00,5104,0
0,296.38,1,2012-10-04 13:00:00,5178,0
0,297.32,1,2012-10-04 14:00:00,5501,0
0,298.17,1,2012-10-04 15:00:00,5713,0
0,298.06,20,2012-10-04 16:00:00,6292,0
0,297.67,20,2012-10-04 17:00:00,6057,0
0,296.36,40,2012-10-04 18:00:00,4907,0
0,293.85,40,2012-10-04 19:00:00,3503,0
0,292.43,40,2012-10-04 20:00:00,3037,0
0,291.77,75,2012-10-04 21:00:00,2822,0
0,291.36,75,2012-10-04 22:00:00,1992,0
0,291.12,75,2012-10-04 23:00:00,1166,0
0,290.63,75,2012-10-05 00:00:00,627,0
0,290.46,40,2012-10-05 01:00:00,388,0
0,289.26,0,2012-10-05 03:00:00,368,0
0,283.21,75,2012-10-05 05:00:00,2489,0
0,282.24,90,2012-10-05 06:00:00,5537,0
0,281.69,90,2012-10-05 07:00:00,6628,0
0,280.57,90,2012-10-05 08:00:00,5534,0
0,280.02,75,2012-10-05 09:00:00,5403,0
0,280.11,75,2012-10-05 10:00:00,4770,0
0,280.0,90,2012-10-05 11:00:00,5217,0
0,280.53,90,2012-10-05 12:00:00,5870,0
0,281.43,75,2012-10-05 13:00:00,5967,0
0,281.78,90,2012-10-05 14:00:00,6108,0
0,281.91,90,2012-10-05 15:00:00,6128,0
0,281.73,90,2012-10-05 16:00:00,6069,0
0,281.42,90,2012-10-05 17:00:00,6169,0
0,280.87,90,2012-10-05 18:00:00,5384,0
0,280.15,90,2012-10-05 19:00:00,4063,0
0,279.78,90,2012-10-05 20:00:00,3364,0
0,279.65,75,2012-10-05 21:00:00,2971,0
0,279.22,40,2012-10-05 22:00:00,2450,0
0,279.06,40,2012-10-05 23:00:00,1832,0
0,278.81,90,2012-10-06 00:00:00,1231,1
0,278.55,90,2012-10-06 01:00:00,718,1
0,278.59,90,2012-10-06 02:00:00,545,1
0,276.99,75,2012-10-06 04:00:00,411,1
0,276.35,20,2012-10-06 05:00:00,688,1
0,275.4,1,2012-10-06 06:00:00,1352,1
0,275.17,1,2012-10-06 07:00:00,2072,1
0,274.99,1,2012-10-06 08:00:00,3342,1
0,275.09,40,2012-10-06 09:00:00,4258,1
0,276.88,20,2012-10-06 10:00:00,4861,1
0,278.04,20,2012-10-06 11:00:00,5191,1
0,279.08,40,2012-10-06 12:00:00,5669,1
0,280.12,75,2012-10-06 13:00:00,5074,1
0,280.25,75,2012-10-06 14:00:00,5025,1
0,280.0,75,2012-10-06 15:00:00,5153,1
0,279.06,90,2012-10-06 16:00:00,5024,1
0,278.91,90,2012-10-06 17:00:00,4779,1
0,278.39,90,2012-10-06 18:00:00,4362,1
0,278.16,90,2012-10-06 19:00:00,3860,1
0,278.16,90,2012-10-06 20:00:00,3160,1
0,277.93,90,2012-10-06 21:00:00,2992,1
0,276.9,90,2012-10-06 22:00:00,3202,1
0,276.34,75,2012-10-06 23:00:00,1941,1
0,276.11,75,2012-10-07 00:00:00,1233,1
0,275.73,90,2012-10-07 03:00:00,323,1
0,275.65,90,2012-10-07 04:00:00,312,1
0,275.51,75,2012-10-07 05:00:00,627,1
0,275.05,90,2012-10-07 06:00:00,1508,1
0,274.77,90,2012-10-07 07:00:00,1539,1
0,274.77,75,2012-10-07 08:00:00,2232,1
0,275.55,75,2012-10-07 09:00:00,4568,1
0,276.24,75,2012-10-07 10:00:00,4624,1
0,277.01,90,2012-10-07 11:00:00,4529,1
0,277.43,90,2012-10-07 12:00:00,5139,1
0,278.45,90,2012-10-07 13:00:00,6640,1
0,279.27,90,2012-10-07 14:00:00,6589,1
0,279.27,90,2012-10-07 15:00:00,4429,1
0,279.44,90,2012-10-07 16:00:00,4329,1
0,279.32,90,2012-10-07 17:00:00,3833,1
0,279.27,90,2012-10-07 18:00:00,4015,1
0,278.11,90,2012-10-07 19:00:00,3382,1
0,276.79,75,2012-10-07 20:00:00,2815,1
0,275.73,90,2012-10-07 21:00:00,2110,1
0,274.88,75,2012-10-07 22:00:00,1555,1
0,273.92,20,2012-10-07 23:00:00,959,1
1,273.08,20,2012-10-08 00:00:00,455,0
1,272.62,20,2012-10-08 01:00:00,336,0
1,271.78,1,2012-10-08 02:00:00,265,0
1,271.05,1,2012-10-08 03:00:00,314,0
1,270.63,1,2012-10-08 04:00:00,779,0
1,270.33,1,2012-10-08 05:00:00,2571,0
1,269.61,20,2012-10-08 06:00:00,5563,0
1,270.01,20,2012-10-08 07:00:00,6676,0
1,271.23,20,2012-10-08 08:00:00,5966,0
1,273.71,20,2012-10-08 09:00:00,4832,0
1,276.77,20,2012-10-08 10:00:00,4395,0
1,279.47,20,2012-10-08 11:00:00,4411,0
1,279.84,1,2012-10-08 12:00:00,4648,0
1,282.34,40,2012-10-08 13:00:00,4602,0
1,282.94,40,2012-10-08 14:00:00,5125,0
1,283.48,1,2012-10-08 15:00:00,5502,0
