,timesteps,epochs,batch_size,filters,kernel_size,pool_size,loss_mae,loss_rmse
0,7,15,10,16,5,2,0.24986715614795685,0.328986793756485
1,7,15,7,16,5,2,0.289966344833374,0.3618590831756592
2,7,15,5,16,5,2,0.2770310938358307,0.3511914014816284
3,7,15,2,16,5,2,0.30025333166122437,0.38545480370521545
4,6,15,10,16,5,2,0.2667202055454254,0.3446151912212372
5,6,15,7,16,5,2,0.26901116967201233,0.333575576543808
6,6,15,5,16,5,2,0.25403597950935364,0.3286478817462921
7,6,15,2,16,5,2,0.31718310713768005,0.4080648720264435
8,5,15,10,16,5,2,0.2447022944688797,0.32194820046424866
9,5,15,7,16,5,2,0.2723979949951172,0.3432972729206085
10,5,15,5,16,5,2,0.2519502341747284,0.3270304203033447
11,5,15,2,16,5,2,0.28279200196266174,0.3607873022556305
12,7,20,10,16,5,2,0.27476492524147034,0.3380376398563385
13,7,20,7,16,5,2,0.2824167013168335,0.3463252782821655
14,7,20,5,16,5,2,0.24642105400562286,0.33184996247291565
15,7,20,2,16,5,2,0.31174662709236145,0.4033730924129486
16,6,20,10,16,5,2,0.247704416513443,0.3269907832145691
17,6,20,7,16,5,2,0.28829067945480347,0.3635830879211426
18,6,20,5,16,5,2,0.2617374360561371,0.3328389823436737
19,6,20,2,16,5,2,0.3002737760543823,0.3842942714691162
20,5,20,10,16,5,2,0.27425146102905273,0.35260626673698425
21,5,20,7,16,5,2,0.2638706564903259,0.3280143439769745
22,5,20,5,16,5,2,0.2561337351799011,0.3267822861671448
23,5,20,2,16,5,2,0.28977060317993164,0.36322280764579773
24,7,30,10,16,5,2,0.2645561099052429,0.3287104666233063
25,7,30,7,16,5,2,0.2699642777442932,0.34164920449256897
26,7,30,5,16,5,2,0.2481948435306549,0.32805463671684265
27,7,30,2,16,5,2,0.2840511202812195,0.35420432686805725
28,6,30,10,16,5,2,0.2742719352245331,0.3431321084499359
29,6,30,7,16,5,2,0.2502741813659668,0.33358120918273926
30,6,30,5,16,5,2,0.2616763412952423,0.3369518518447876
31,6,30,2,16,5,2,0.2985023260116577,0.37167608737945557
32,5,30,10,16,5,2,0.2626648545265198,0.33412668108940125
33,5,30,7,16,5,2,0.24842940270900726,0.314004510641098
34,5,30,5,16,5,2,0.240989550948143,0.31204521656036377
35,5,30,2,16,5,2,0.27452319860458374,0.34850013256073
36,7,40,10,16,5,2,0.2648579776287079,0.3343449831008911
37,7,40,7,16,5,2,0.2669672667980194,0.3330913782119751
38,7,40,5,16,5,2,0.24602898955345154,0.32757019996643066
39,7,40,2,16,5,2,0.29703035950660706,0.38126322627067566
40,6,40,10,16,5,2,0.27059128880500793,0.33626022934913635
41,6,40,7,16,5,2,0.2566490173339844,0.32017260789871216
42,6,40,5,16,5,2,0.2382599413394928,0.32446619868278503
43,6,40,2,16,5,2,0.29872265458106995,0.3770591914653778
44,5,40,10,16,5,2,0.24162593483924866,0.3159298002719879
45,5,40,7,16,5,2,0.2535589039325714,0.3198525607585907
46,5,40,5,16,5,2,0.2356431931257248,0.3133092522621155
47,5,40,2,16,5,2,0.27191445231437683,0.34542131423950195
48,7,50,10,16,5,2,0.25501713156700134,0.33258703351020813
49,7,50,7,16,5,2,0.2828240692615509,0.348459392786026
50,7,50,5,16,5,2,0.24615563452243805,0.3298480212688446
51,7,50,2,16,5,2,0.2650810480117798,0.3401452600955963
52,6,50,10,16,5,2,0.2630201280117035,0.3311873972415924
53,6,50,7,16,5,2,0.2502098083496094,0.32440873980522156
54,6,50,5,16,5,2,0.2529996931552887,0.3237667977809906
55,6,50,2,16,5,2,0.28428685665130615,0.3670000731945038
56,5,50,10,16,5,2,0.24032029509544373,0.30958178639411926
57,5,50,7,16,5,2,0.24418646097183228,0.31643176078796387
58,5,50,5,16,5,2,0.2447434812784195,0.31347429752349854
59,5,50,2,16,5,2,0.28069761395454407,0.36166200041770935
