,timesteps,epochs,batch_size,filters,kernel_size,pool_size,loss_mae,loss_rmse
0,7,15,10,16,5,2,0.29711219668388367,0.4186353385448456
1,7,15,7,16,5,2,0.28469812870025635,0.4129123389720917
2,7,15,5,16,5,2,0.29271504282951355,0.4191436767578125
3,7,15,2,16,5,2,0.365134060382843,0.5050651431083679
4,6,15,10,16,5,2,0.29539361596107483,0.4131254255771637
5,6,15,7,16,5,2,0.2971523702144623,0.43375149369239807
6,6,15,5,16,5,2,0.291543573141098,0.42240095138549805
7,6,15,2,16,5,2,0.3393062949180603,0.4650922119617462
8,5,15,10,16,5,2,0.290060818195343,0.40250977873802185
9,5,15,7,16,5,2,0.2879766821861267,0.41169729828834534
10,5,15,5,16,5,2,0.2897423803806305,0.40746060013771057
11,5,15,2,16,5,2,0.3303558826446533,0.46155619621276855
12,7,20,10,16,5,2,0.28524428606033325,0.4170997142791748
13,7,20,7,16,5,2,0.2818557322025299,0.4163149297237396
14,7,20,5,16,5,2,0.28027549386024475,0.4159006178379059
15,7,20,2,16,5,2,0.3256378173828125,0.44816693663597107
16,6,20,10,16,5,2,0.2923564612865448,0.4141708314418793
17,6,20,7,16,5,2,0.2819422781467438,0.40599241852760315
18,6,20,5,16,5,2,0.2873615026473999,0.41170942783355713
19,6,20,2,16,5,2,0.31132280826568604,0.42258334159851074
20,5,20,10,16,5,2,0.2832801043987274,0.4029363691806793
21,5,20,7,16,5,2,0.28427571058273315,0.4004463851451874
22,5,20,5,16,5,2,0.28153470158576965,0.40447476506233215
23,5,20,2,16,5,2,0.2980021834373474,0.4191678464412689
24,7,30,10,16,5,2,0.2780323624610901,0.41622987389564514
25,7,30,7,16,5,2,0.2841387093067169,0.4137643277645111
26,7,30,5,16,5,2,0.2901657521724701,0.4264968931674957
27,7,30,2,16,5,2,0.33661380410194397,0.4573684632778168
28,6,30,10,16,5,2,0.29078152775764465,0.4196988642215729
29,6,30,7,16,5,2,0.2904201149940491,0.4220280647277832
30,6,30,5,16,5,2,0.2978627681732178,0.43992218375205994
31,6,30,2,16,5,2,0.3123467266559601,0.42598405480384827
32,5,30,10,16,5,2,0.28076621890068054,0.3986547887325287
33,5,30,7,16,5,2,0.28238698840141296,0.40740594267845154
34,5,30,5,16,5,2,0.2828992009162903,0.4021467864513397
35,5,30,2,16,5,2,0.30507537722587585,0.41591373085975647
36,7,40,10,16,5,2,0.28892213106155396,0.42078468203544617
37,7,40,7,16,5,2,0.28554970026016235,0.4114644229412079
38,7,40,5,16,5,2,0.2858321964740753,0.413717120885849
39,7,40,2,16,5,2,0.3062381148338318,0.4274309575557709
40,6,40,10,16,5,2,0.28642019629478455,0.4168923795223236
41,6,40,7,16,5,2,0.27903997898101807,0.4088834226131439
42,6,40,5,16,5,2,0.28503164649009705,0.41023650765419006
43,6,40,2,16,5,2,0.29439234733581543,0.41451743245124817
44,5,40,10,16,5,2,0.2799164354801178,0.3988657295703888
45,5,40,7,16,5,2,0.28197917342185974,0.3983369767665863
46,5,40,5,16,5,2,0.2811865508556366,0.4037064015865326
47,5,40,2,16,5,2,0.3036586344242096,0.42364540696144104
48,7,50,10,16,5,2,0.27642321586608887,0.4187120497226715
49,7,50,7,16,5,2,0.29038485884666443,0.4223158657550812
50,7,50,5,16,5,2,0.2833481729030609,0.41512584686279297
51,7,50,2,16,5,2,0.3031471073627472,0.42854952812194824
52,6,50,10,16,5,2,0.2858915328979492,0.4191710948944092
53,6,50,7,16,5,2,0.28323131799697876,0.40979018807411194
54,6,50,5,16,5,2,0.28644663095474243,0.4166022837162018
55,6,50,2,16,5,2,0.2988053858280182,0.412853479385376
56,5,50,10,16,5,2,0.2824120819568634,0.40828385949134827
57,5,50,7,16,5,2,0.2817397713661194,0.39786720275878906
58,5,50,5,16,5,2,0.282644122838974,0.40571752190589905
59,5,50,2,16,5,2,0.29396989941596985,0.4029194414615631
