,timesteps,epochs,batch_size,filters,kernel_size,pool_size,loss_mae,loss_rmse
0,7,15,10,16,5,2,0.24333661794662476,0.3312045931816101
1,7,15,7,16,5,2,0.23135456442832947,0.32706671953201294
2,7,15,5,16,5,2,0.2551748752593994,0.33352017402648926
3,7,15,2,16,5,2,0.2962568700313568,0.3680283725261688
4,6,15,10,16,5,2,0.2444426566362381,0.32540005445480347
5,6,15,7,16,5,2,0.24886173009872437,0.330179363489151
6,6,15,5,16,5,2,0.26499512791633606,0.3418326675891876
7,6,15,2,16,5,2,0.27539727091789246,0.33929160237312317
8,5,15,10,16,5,2,0.25843408703804016,0.33144712448120117
9,5,15,7,16,5,2,0.24276462197303772,0.3242761790752411
10,5,15,5,16,5,2,0.2504441440105438,0.3262694180011749
11,5,15,2,16,5,2,0.2614269554615021,0.3289416432380676
12,7,20,10,16,5,2,0.23150253295898438,0.32806602120399475
13,7,20,7,16,5,2,0.2490430772304535,0.32672572135925293
14,7,20,5,16,5,2,0.26175546646118164,0.34235677123069763
15,7,20,2,16,5,2,0.2696312963962555,0.3356722295284271
16,6,20,10,16,5,2,0.24825428426265717,0.3296118974685669
17,6,20,7,16,5,2,0.2370249330997467,0.3277193009853363
18,6,20,5,16,5,2,0.2563128173351288,0.3345915377140045
19,6,20,2,16,5,2,0.2591612935066223,0.32691261172294617
20,5,20,10,16,5,2,0.24625420570373535,0.32696232199668884
21,5,20,7,16,5,2,0.23817004263401031,0.3156557083129883
22,5,20,5,16,5,2,0.24449437856674194,0.3182581961154938
23,5,20,2,16,5,2,0.25656282901763916,0.32340356707572937
24,7,30,10,16,5,2,0.24210859835147858,0.33494138717651367
25,7,30,7,16,5,2,0.25283828377723694,0.33686745166778564
26,7,30,5,16,5,2,0.25331565737724304,0.32978686690330505
27,7,30,2,16,5,2,0.27275967597961426,0.34843894839286804
28,6,30,10,16,5,2,0.23213925957679749,0.3229609429836273
29,6,30,7,16,5,2,0.24216246604919434,0.3259337246417999
30,6,30,5,16,5,2,0.26191383600234985,0.3369450271129608
31,6,30,2,16,5,2,0.26402750611305237,0.33466091752052307
32,5,30,10,16,5,2,0.2323990762233734,0.3202159106731415
33,5,30,7,16,5,2,0.24057745933532715,0.3219042718410492
34,5,30,5,16,5,2,0.2392476499080658,0.31826794147491455
35,5,30,2,16,5,2,0.2574014961719513,0.3330461382865906
36,7,40,10,16,5,2,0.2317669540643692,0.3239842653274536
37,7,40,7,16,5,2,0.23523777723312378,0.32659485936164856
38,7,40,5,16,5,2,0.24897092580795288,0.3268387019634247
39,7,40,2,16,5,2,0.266120582818985,0.3333183526992798
40,6,40,10,16,5,2,0.2311425805091858,0.32453930377960205
41,6,40,7,16,5,2,0.2503865659236908,0.3337055742740631
42,6,40,5,16,5,2,0.2560543715953827,0.32959845662117004
43,6,40,2,16,5,2,0.2673202455043793,0.33650943636894226
44,5,40,10,16,5,2,0.24048781394958496,0.32034337520599365
45,5,40,7,16,5,2,0.23953914642333984,0.3256091773509979
46,5,40,5,16,5,2,0.23641973733901978,0.31675830483436584
47,5,40,2,16,5,2,0.25421345233917236,0.3287186026573181
48,7,50,10,16,5,2,0.23918721079826355,0.3343019187450409
49,7,50,7,16,5,2,0.2336195707321167,0.3241134583950043
50,7,50,5,16,5,2,0.2548394799232483,0.3353692591190338
51,7,50,2,16,5,2,0.2653030753135681,0.3436072766780853
52,6,50,10,16,5,2,0.23392926156520844,0.3216094970703125
53,6,50,7,16,5,2,0.23212841153144836,0.3226461410522461
54,6,50,5,16,5,2,0.2539101839065552,0.3299044370651245
55,6,50,2,16,5,2,0.25313007831573486,0.3240964412689209
56,5,50,10,16,5,2,0.23675058782100677,0.31936609745025635
57,5,50,7,16,5,2,0.24317672848701477,0.31912803649902344
58,5,50,5,16,5,2,0.24401168525218964,0.31773635745048523
59,5,50,2,16,5,2,0.25125300884246826,0.3206430971622467
