,timesteps,epochs,batch_size,filters,kernel_size,pool_size,loss_mae,loss_rmse
0,7,15,10,16,5,2,0.23806607723236084,0.32428303360939026
1,7,15,7,16,5,2,0.2337811440229416,0.32399165630340576
2,7,15,5,16,5,2,0.24731437861919403,0.33301129937171936
3,7,15,2,16,5,2,0.27736610174179077,0.34559449553489685
4,6,15,10,16,5,2,0.2340381145477295,0.31590330600738525
5,6,15,7,16,5,2,0.24124442040920258,0.3313411772251129
6,6,15,5,16,5,2,0.23878233134746552,0.3237462341785431
7,6,15,2,16,5,2,0.2744412124156952,0.34211835265159607
8,5,15,10,16,5,2,0.2296224683523178,0.3105412721633911
9,5,15,7,16,5,2,0.22810709476470947,0.3134842813014984
10,5,15,5,16,5,2,0.23300601541996002,0.31371811032295227
11,5,15,2,16,5,2,0.25918614864349365,0.3317934572696686
12,7,20,10,16,5,2,0.23259183764457703,0.32322144508361816
13,7,20,7,16,5,2,0.23705703020095825,0.3220028281211853
14,7,20,5,16,5,2,0.23754523694515228,0.32432758808135986
15,7,20,2,16,5,2,0.25929251313209534,0.3321154713630676
16,6,20,10,16,5,2,0.2327987253665924,0.31955990195274353
17,6,20,7,16,5,2,0.23081588745117188,0.31290316581726074
18,6,20,5,16,5,2,0.23563699424266815,0.31838759779930115
19,6,20,2,16,5,2,0.2576170563697815,0.32511234283447266
20,5,20,10,16,5,2,0.22643589973449707,0.31055232882499695
21,5,20,7,16,5,2,0.22966322302818298,0.31155654788017273
22,5,20,5,16,5,2,0.23057380318641663,0.3147723972797394
23,5,20,2,16,5,2,0.24463430047035217,0.32047533988952637
24,7,30,10,16,5,2,0.23164327442646027,0.3236621916294098
25,7,30,7,16,5,2,0.2346421480178833,0.3205353915691376
26,7,30,5,16,5,2,0.24556058645248413,0.3352877199649811
27,7,30,2,16,5,2,0.261335164308548,0.3380345106124878
28,6,30,10,16,5,2,0.23645487427711487,0.32385697960853577
29,6,30,7,16,5,2,0.24040518701076508,0.32250383496284485
30,6,30,5,16,5,2,0.2432631105184555,0.33489587903022766
31,6,30,2,16,5,2,0.2605381906032562,0.3293759524822235
32,5,30,10,16,5,2,0.2263987958431244,0.30816450715065
33,5,30,7,16,5,2,0.22836831212043762,0.314407080411911
34,5,30,5,16,5,2,0.23091478645801544,0.31260648369789124
35,5,30,2,16,5,2,0.24735774099826813,0.3187699615955353
36,7,40,10,16,5,2,0.2420186847448349,0.3309485912322998
37,7,40,7,16,5,2,0.23688210546970367,0.31879550218582153
38,7,40,5,16,5,2,0.24019014835357666,0.32326051592826843
39,7,40,2,16,5,2,0.2637290358543396,0.3417471945285797
40,6,40,10,16,5,2,0.23546551167964935,0.32156994938850403
41,6,40,7,16,5,2,0.23422330617904663,0.31936192512512207
42,6,40,5,16,5,2,0.23773321509361267,0.31989094614982605
43,6,40,2,16,5,2,0.23946163058280945,0.3210388720035553
44,5,40,10,16,5,2,0.22844667732715607,0.31035706400871277
45,5,40,7,16,5,2,0.2283862829208374,0.30764248967170715
46,5,40,5,16,5,2,0.2306690663099289,0.3161877393722534
47,5,40,2,16,5,2,0.24634107947349548,0.31695088744163513
48,7,50,10,16,5,2,0.23623059689998627,0.3285391330718994
49,7,50,7,16,5,2,0.24449920654296875,0.33487066626548767
50,7,50,5,16,5,2,0.23769280314445496,0.3246006369590759
51,7,50,2,16,5,2,0.2534483075141907,0.33139923214912415
52,6,50,10,16,5,2,0.23784370720386505,0.326562762260437
53,6,50,7,16,5,2,0.23207570612430573,0.31520316004753113
54,6,50,5,16,5,2,0.23657016456127167,0.32123783230781555
55,6,50,2,16,5,2,0.24869586527347565,0.32225915789604187
56,5,50,10,16,5,2,0.22998377680778503,0.31494230031967163
57,5,50,7,16,5,2,0.2280232459306717,0.3080918490886688
58,5,50,5,16,5,2,0.2306472659111023,0.3163135349750519
59,5,50,2,16,5,2,0.23866112530231476,0.30826154351234436
